  cal_date  | daily_calls | daily_avg_sat | cumulative_calls | rolling_30d_avg_volume | rolling_30d_avg_sat | next_day_calls 
------------+-------------+---------------+------------------+------------------------+---------------------+----------------
 2024-01-01 |           0 |               |                0 |                    0.0 |                     |              8
 2024-01-02 |           8 |          3.71 |                8 |                    4.0 |                3.71 |              7
 2024-01-03 |           7 |          3.14 |               15 |                    5.0 |                3.43 |              7
 2024-01-04 |           7 |          3.83 |               22 |                    5.5 |                3.56 |              0
 2024-01-05 |           0 |               |               22 |                    4.4 |                3.56 |              0
 2024-01-06 |           0 |               |               22 |                    3.7 |                3.56 |              0
 2024-01-07 |           0 |               |               22 |                    3.1 |                3.56 |              9
 2024-01-08 |           9 |          3.89 |               31 |                    3.9 |                3.64 |              7
 2024-01-09 |           7 |          3.50 |               38 |                    4.2 |                3.61 |              8
 2024-01-10 |           8 |          3.29 |               46 |                    4.6 |                3.56 |              7
 2024-01-11 |           7 |          3.50 |               53 |                    4.8 |                3.55 |              7
 2024-01-12 |           7 |          3.71 |               60 |                    5.0 |                3.57 |              0
 2024-01-13 |           0 |               |               60 |                    4.6 |                3.57 |              0
 2024-01-14 |           0 |               |               60 |                    4.3 |                3.57 |              8
 2024-01-15 |           8 |          3.29 |               68 |                    4.5 |                3.54 |              6
 2024-01-16 |           6 |          3.80 |               74 |                    4.6 |                3.57 |              7
 2024-01-17 |           7 |          3.57 |               81 |                    4.8 |                3.57 |              7
 2024-01-18 |           7 |          3.83 |               88 |                    4.9 |                3.59 |              6
... (186 total lines — middle rows omitted for brevity) ...
 2024-06-23 |           0 |               |              460 |                    2.6 |                3.96 |              7
 2024-06-24 |           7 |          4.00 |              467 |                    2.8 |                3.96 |              7
 2024-06-25 |           7 |          3.86 |              474 |                    3.0 |                3.95 |              7
 2024-06-26 |           7 |          3.86 |              481 |                    3.3 |                3.95 |              7
 2024-06-27 |           7 |          4.00 |              488 |                    3.5 |                3.95 |              7
 2024-06-28 |           7 |          4.29 |              495 |                    3.7 |                3.97 |              0
 2024-06-29 |           0 |               |              495 |                    3.7 |                3.97 |              0
 2024-06-30 |           0 |               |              495 |                    3.7 |                3.97 |               
(182 rows)

